ID   M_g   Zmet   log(Teff)   log(g)   Age/Gyr   FUV   NUV   M_u   M_g   M_r   M_i   M_z   M_J   M_H   M_Ks   W1   W2   W3   W4
01x01   0.1037  -1.9764   3.7155   2.1052   7.0000  14.2608   4.7623   1.3554   0.1038  -0.4334  -0.6328  -0.7291  -1.7374  -2.1823  -2.2411  -2.2731  -2.2811  -2.3139  -2.3361
02x01   0.7340  -1.9764   3.7089   2.3189   8.0000  15.2389   5.4415   1.9969   0.7340   0.1669  -0.0446  -0.1493  -1.1727  -1.6352  -1.6981  -1.7321  -1.7371  -1.7740  -1.7961
03x01   1.0590  -1.9764   3.7135   2.4624   9.0000  15.1808   5.5618   2.2758   1.0590   0.5132   0.3106   0.2119  -0.8017  -1.2539  -1.3144  -1.3474  -1.3534  -1.3880  -1.4110
04x01   1.4798  -1.9764   3.7242   2.7478   6.0000  14.7201   5.5848   2.6003   1.4798   0.9807   0.7972   0.7128  -0.2787  -0.7033  -0.7595  -0.7905  -0.7993  -0.8286  -0.8516
05x01   2.0295  -1.9764   3.7373   3.0918   4.0000  14.0098   5.7460   3.0687   2.0295   1.5790   1.4172   1.3484   0.3837  -0.0110  -0.0629  -0.0890  -0.0990  -0.1259  -0.1489
06x01   2.5350  -1.9764   3.7389   3.2293   7.0000  14.3511   6.1908   3.5589   2.5350   2.0881   1.9277   1.8612   0.8999   0.5088   0.4578   0.4309   0.4209   0.3949   0.3719
07x01   2.8753  -1.9764   3.7397   3.3239  10.0000  14.5957   6.4930   3.8885   2.8753   2.4292   2.2702   2.2046   1.2451   0.8565   0.8050   0.7775   0.7675   0.7425   0.7190
08x01   3.0957  -1.9764   3.8023   3.7684   8.0000  10.7951   5.7111   3.9694   3.0957   2.8564   2.7977   2.8065   1.9611   1.7063   1.6790   1.6677   1.6607   1.6441   1.6231
09x01   3.2581  -1.9764   3.7617   3.5950  10.0000  13.2100   6.4175   4.1777   3.2581   2.8891   2.7649   2.7259   1.8080   1.4660   1.4242   1.4038   1.3938   1.3731   1.3494
10x01   3.3954  -1.9764   3.8481   4.1203   7.0000   9.6174   5.6197   4.2917   3.3954   3.2855   3.2982   3.3592   2.5919   2.4333   2.4146   2.4106   2.4056   2.3933   2.3746
11x01   3.5163  -1.9764   3.8474   4.1605   7.0000   9.7613   5.7343   4.4025   3.5163   3.4022   3.4132   3.4725   2.7041   2.5424   2.5244   2.5204   2.5154   2.5034   2.4844
12x01   3.6297  -1.9764   3.8373   4.1407   8.0000  10.1587   5.9086   4.4979   3.6297   3.4858   3.4807   3.5287   2.7427   2.5597   2.5397   2.5347   2.5295   2.5157   2.4975
13x01   3.7354  -1.9764   3.8653   4.3637   4.0000   9.5428   5.8217   4.6297   3.7354   3.6657   3.7030   3.7831   3.0434   2.9155   2.8995   2.8985   2.8945   2.8830   2.8664
14x01   3.8366  -1.9764   3.8284   4.1619   9.0000  10.6195   6.1595   4.6814   3.8366   3.6651   3.6437   3.6815   2.8802   2.6768   2.6558   2.6508   2.6448   2.6308   2.6117
15x01   3.9344  -1.9764   3.8332   4.2312   8.0000  10.5859   6.2154   4.7777   3.9344   3.7750   3.7608   3.8043   3.0111   2.8166   2.7966   2.7916   2.7863   2.7723   2.7533
16x01   4.0331  -1.9764   3.8363   4.2922   7.0000  10.5987   6.2819   4.8719   4.0331   3.8805   3.8711   3.9176   3.1291   2.9411   2.9218   2.9178   2.9121   2.8988   2.8798
17x01   4.1336  -1.9764   3.8199   4.2197  10.0000  11.2054   6.5093   4.9573   4.1336   3.9353   3.8988   3.9273   3.1109   2.8881   2.8659   2.8589   2.8529   2.8379   2.8188
18x01   4.2371  -1.9764   3.8264   4.3069   8.0000  11.0896   6.5424   5.0534   4.2371   4.0551   4.0281   4.0635   3.2585   3.0480   3.0279   3.0220   3.0169   3.0020   2.9829
19x01   4.3437  -1.9764   3.8271   4.3579   7.0000  11.1813   6.6352   5.1541   4.3437   4.1628   4.1367   4.1724   3.3683   3.1587   3.1384   3.1332   3.1282   3.1139   3.0942
20x01   4.4552  -1.9764   3.8272   4.4061   6.0000  11.2925   6.7354   5.2567   4.4552   4.2718   4.2451   4.2812   3.4765   3.2669   3.2469   3.2419   3.2369   3.2220   3.2029
21x01   4.5725  -1.9764   3.8143   4.3599   9.0000  11.8663   6.9745   5.3711   4.5725   4.3535   4.3071   4.3284   3.5023   3.2659   3.2427   3.2355   3.2295   3.2145   3.1935
22x01   4.6955  -1.9764   3.8163   4.4289   7.0000  11.9220   7.0663   5.4847   4.6955   4.4801   4.4364   4.4596   3.6370   3.4037   3.3817   3.3742   3.3689   3.3542   3.3334
23x01   4.8291  -1.9764   3.8144   4.4728   6.0000  12.1368   7.2117   5.6114   4.8291   4.6067   4.5588   4.5801   3.7539   3.5165   3.4930   3.4860   3.4800   3.4650   3.4443
24x01   4.9711  -1.9764   3.8034   4.4480   9.0000  12.6896   7.4640   5.7526   4.9711   4.7184   4.6536   4.6620   3.8172   3.5571   3.5319   3.5219   3.5158   3.4998   3.4787
25x01   5.1245  -1.9764   3.8021   4.5078   7.0000  12.9025   7.6222   5.8979   5.1245   4.8658   4.7986   4.8052   3.9589   3.6958   3.6691   3.6601   3.6531   3.6372   3.6162
26x01   5.2936  -1.9764   3.7947   4.5240   8.0000  13.4313   7.8861   6.0744   5.2936   5.0117   4.9335   4.9317   4.0732   3.7964   3.7671   3.7549   3.7479   3.7319   3.7102
27x01   5.4831  -1.9764   3.7917   4.5909   5.0000  13.8039   8.1196   6.2650   5.4831   5.1902   5.1062   5.1019   4.2390   3.9571   3.9255   3.9118   3.9048   3.8888   3.8669
28x01   5.7011  -1.9764   3.7767   4.5612  11.0000  14.8035   8.5532   6.5129   5.7011   5.3613   5.2560   5.2337   4.3463   4.0370   3.9988   3.9796   3.9716   3.9546   3.9326
29x01   5.9659  -1.9764   3.7671   4.6087  10.0000  15.7256   8.9941   6.8148   5.9659   5.5915   5.4712   5.4387   4.5364   4.2121   4.1674   4.1426   4.1337   4.1167   4.0947
30x01   6.3020  -1.9764   3.7534   4.6569   9.0000  17.0408   9.5957   7.2138   6.3020   5.8768   5.7355   5.6870   4.7638   4.4185   4.3648   4.3312   4.3212   4.3042   4.2822
31x01   6.8015  -1.9764   3.7315   4.7143   7.0000  19.1747  10.5840   7.8632   6.8015   6.2903   6.1133   6.0410   5.0805   4.7020   4.6333   4.5846   4.5736   4.5520   4.5315
32x01   7.8719  -1.9764   3.6880   4.8079   7.0000  22.7705  12.7852   9.3381   7.8719   7.1715   6.9163   6.7870   5.7428   5.2853   5.1831   5.1073   5.0969   5.0521   5.0374
01x02   0.1037  -1.8041   3.6943   1.9401  10.0000  15.7219   5.4686   1.5251   0.1037  -0.5390  -0.7795  -0.9053  -1.9609  -2.4614  -2.5304  -2.5682  -2.5674  -2.6132  -2.6352
02x02   0.7340  -1.8041   3.7089   2.3189   8.0000  15.2389   5.4415   1.9969   0.7340   0.1669  -0.0446  -0.1493  -1.1727  -1.6352  -1.6981  -1.7321  -1.7371  -1.7740  -1.7961
03x02   1.0590  -1.8041   3.7135   2.4624   9.0000  15.1808   5.5618   2.2758   1.0590   0.5132   0.3106   0.2119  -0.8017  -1.2539  -1.3144  -1.3474  -1.3534  -1.3880  -1.4110
04x02   1.4798  -1.8041   3.7203   2.6720   9.0000  15.0357   5.7175   2.6338   1.4798   0.9635   0.7729   0.6828  -0.3163  -0.7514  -0.8094  -0.8410  -0.8484  -0.8800  -0.9030
05x02   2.0295  -1.8041   3.7282   2.9373   9.0000  14.8582   5.9774   3.1152   2.0295   1.5439   1.3664   1.2874   0.3048  -0.1118  -0.1668  -0.1963  -0.2053  -0.2343  -0.2573
06x02   2.5350  -1.8041   3.7420   3.2661   6.0000  14.0693   6.1168   3.5419   2.5350   2.0991   1.9447   1.8819   0.9263   0.5421   0.4921   0.4666   0.4559   0.4313   0.4076
07x02   2.8753  -1.8041   3.7450   3.3815   8.0000  14.1213   6.3688   3.8604   2.8753   2.4492   2.3002   2.2411   1.2911   0.9131   0.8650   0.8400   0.8290   0.8050   0.7810
08x02   3.0957  -1.8041   3.8628   4.0960   6.0000   8.9572   5.2707   4.0367   3.0957   3.0307   3.0702   3.1477   2.4062   2.2792   2.2617   2.2587   2.2537   2.2422   2.2252
09x02   3.2581  -1.8041   3.7617   3.5950  10.0000  13.2100   6.4175   4.1777   3.2581   2.8891   2.7649   2.7259   1.8080   1.4660   1.4242   1.4038   1.3938   1.3731   1.3494
10x02   3.3954  -1.8041   3.8481   4.1203   7.0000   9.6174   5.6197   4.2917   3.3954   3.2855   3.2982   3.3592   2.5919   2.4333   2.4146   2.4106   2.4056   2.3933   2.3746
11x02   3.5163  -1.8041   3.8111   3.9474  10.0000  10.8829   6.0166   4.3727   3.5163   3.2996   3.2529   3.2717   2.4405   2.2024   2.1777   2.1683   2.1623   2.1463   2.1256
12x02   3.6297  -1.8041   3.8271   4.0795   9.0000  10.4421   5.9769   4.4859   3.6297   3.4574   3.4353   3.4712   2.6685   2.4638   2.4422   2.4362   2.4302   2.4162   2.3967
13x02   3.7354  -1.8041   3.8199   4.0730  10.0000  10.7912   6.1381   4.5820   3.7354   3.5415   3.5078   3.5360   2.7201   2.4998   2.4772   2.4697   2.4637   2.4487   2.4287
14x02   3.8366  -1.8041   3.8349   4.2046   8.0000  10.4357   6.1135   4.6883   3.8366   3.6837   3.6728   3.7183   2.9284   2.7385   2.7185   2.7140   2.7085   2.6950   2.6760
15x02   3.9344  -1.8041   3.8503   4.3475   5.0000  10.1090   6.0889   4.7918   3.9344   3.8214   3.8330   3.8955   3.1311   2.9713   2.9543   2.9523   2.9477   2.9357   2.9170
16x02   4.0331  -1.8041   3.8363   4.2922   7.0000  10.5987   6.2819   4.8719   4.0331   3.8805   3.8711   3.9176   3.1291   2.9411   2.9218   2.9178   2.9121   2.8988   2.8798
17x02   4.1336  -1.8041   3.8245   4.2512   9.0000  11.0386   6.4621   4.9562   4.1336   3.9478   3.9190   3.9514   3.1434   2.9302   2.9090   2.9030   2.8980   2.8830   2.8638
18x02   4.2371  -1.8041   3.8264   4.3069   8.0000  11.0896   6.5424   5.0534   4.2371   4.0551   4.0281   4.0635   3.2585   3.0480   3.0279   3.0220   3.0169   3.0020   2.9829
19x02   4.3437  -1.8041   3.8347   4.4134   5.0000  10.9649   6.5750   5.1572   4.3437   4.1816   4.1670   4.2115   3.4199   3.2257   3.2067   3.2024   3.1974   3.1841   3.1651
20x02   4.4552  -1.8041   3.8112   4.2865  11.0000  11.8562   6.8972   5.2622   4.4552   4.2288   4.1781   4.1958   3.3646   3.1225   3.0985   3.0900   3.0840   3.0686   3.0480
21x02   4.5725  -1.8041   3.8231   4.4272   6.0000  11.5453   6.8798   5.3654   4.5725   4.3772   4.3435   4.3749   3.5637   3.3445   3.3235   3.3185   3.3130   3.2980   3.2790
22x02   4.6955  -1.8041   3.8137   4.4079   8.0000  12.0205   7.0954   5.4873   4.6955   4.4731   4.4250   4.4452   3.6181   3.3800   3.3570   3.3496   3.3436   3.3276   3.3076
23x02   4.8291  -1.8041   3.8144   4.4728   6.0000  12.1368   7.2117   5.6114   4.8291   4.6067   4.5588   4.5801   3.7539   3.5165   3.4930   3.4860   3.4800   3.4650   3.4443
24x02   4.9711  -1.8041   3.8053   4.4638   8.0000  12.6186   7.4429   5.7511   4.9711   4.7230   4.6612   4.6719   3.8311   3.5746   3.5494   3.5402   3.5332   3.5180   3.4970
25x02   5.1245  -1.8041   3.8021   4.5078   7.0000  12.9025   7.6222   5.8979   5.1245   4.8658   4.7986   4.8052   3.9589   3.6958   3.6691   3.6601   3.6531   3.6372   3.6162
26x02   5.2936  -1.8041   3.7962   4.5371   7.0000  13.3611   7.8660   6.0710   5.2936   5.0168   4.9402   4.9400   4.0842   3.8093   3.7808   3.7694   3.7624   3.7464   3.7244
27x02   5.4831  -1.8041   3.7893   4.5679   7.0000  13.9232   8.1545   6.2707   5.4831   5.1835   5.0963   5.0887   4.2214   3.9354   3.9030   3.8886   3.8816   3.8646   3.8436
28x02   5.7011  -1.8041   3.7795   4.5892   8.0000  14.6626   8.5126   6.5056   5.7011   5.3699   5.2681   5.2491   4.3665   4.0630   4.0255   4.0077   3.9999   3.9829   3.9609
29x02   5.9659  -1.8041   3.7701   4.6413   6.0000  15.5221   8.9380   6.8001   5.9659   5.6018   5.4856   5.4562   4.5597   4.2412   4.1978   4.1743   4.1663   4.1493   4.1273
30x02   6.3020  -1.8041   3.7549   4.6762   6.0000  16.9357   9.5680   7.2072   6.3020   5.8830   5.7432   5.6972   4.7764   4.4348   4.3813   4.3488   4.3388   4.3209   4.2998
31x02   6.8015  -1.8041   3.7324   4.7245   5.0000  19.1157  10.5664   7.8582   6.8015   6.2936   6.1178   6.0461   5.0873   4.7103   4.6413   4.5941   4.5822   4.5605   4.5405
32x02   7.8719  -1.8041   3.6883   4.8126   5.0000  22.7568  12.7789   9.3351   7.8719   7.1715   6.9166   6.7877   5.7440   5.2869   5.1852   5.1089   5.0991   5.0537   5.0389
01x03   0.1037  -1.7040   3.6937   1.9236  11.0000  15.7669   5.5015   1.5349   0.1037  -0.5414  -0.7837  -0.9105  -1.9675  -2.4694  -2.5390  -2.5766  -2.5760  -2.6216  -2.6436
02x03   0.7340  -1.7040   3.7089   2.3189   8.0000  15.2389   5.4415   1.9969   0.7340   0.1669  -0.0446  -0.1493  -1.1727  -1.6352  -1.6981  -1.7321  -1.7371  -1.7740  -1.7961
03x03   1.0590  -1.7040   3.7147   2.4846   8.0000  15.0891   5.5194   2.2658   1.0590   0.5188   0.3178   0.2205  -0.7901  -1.2397  -1.2994  -1.3324  -1.3384  -1.3731  -1.3961
04x03   1.4798  -1.7040   3.7242   2.7478   6.0000  14.7201   5.5848   2.6003   1.4798   0.9807   0.7972   0.7128  -0.2787  -0.7033  -0.7595  -0.7905  -0.7993  -0.8286  -0.8516
